■ タイトル: じんじゃやおてらへのほうもん

■ スライド内容:
【タイトル】
日本語: じんじゃやおてらへのほうもん
タイ語: การเยี่ยมชมศาลเจ้าและวัด

【スライド 1】
日本語: じんじゃ
タイ語: ศาลเจ้าชินโต

【スライド 2】
日本語: おてら
タイ語: วัด

【スライド 3】
日本語: とりい
タイ語: ประตูโทริอิ

【スライド 4】
日本語: おさいせん
タイ語: เงินถวาย

【スライド 5】
日本語: おまいりする
タイ語: ไปสักการะ / ไปกราบไหว้

【スライド 6】
日本語: てをあわせる
タイ語: พนมมือ

【スライド 7】
日本語: おみくじ
タイ語: ใบเซียมซีญี่ปุ่น

【スライド 8】
日本語: えま
タイ語: แผ่นป้ายขอพร

【スライド 9】
日本語: おまもり
タイ語: เครื่องรางนำโชค

【スライド 10】
日本語: ごしゅいん
タイ語: ตราประทับวัด/ศาลเจ้า

【スライド 11】
日本語: さんどう
タイ語: ทางเข้าวัด/ศาลเจ้า

