■ タイトル: ゴミのふんべつとしゅつしほう

■ スライド内容:
【タイトル】
日本語: ゴミのふんべつとしゅつしほう
タイ語: การแยกและทิ้งขยะ

【スライド 1】
日本語: ゴミ
タイ語: ขยะ

【スライド 2】
日本語: ふんべつ
タイ語: การแยกประเภท

【スライド 3】
日本語: ねんえるゴミ
タイ語: ขยะเผาได้

【スライド 4】
日本語: ねんえないゴミ
タイ語: ขยะเผาไม่ได้

【スライド 5】
日本語: プラスチック
タイ語: พลาสติก

【スライド 6】
日本語: ペットボトル
タイ語: ขวดพลาสติก (ขวด PET)

【スライド 7】
日本語: そらきかん
タイ語: กระป๋องเปล่า

【スライド 8】
日本語: そらきかめ
タイ語: ขวดแก้วเปล่า

【スライド 9】
日本語: しげんゴミ
タイ語: ขยะรีไซเคิล (ขยะที่นำกลับมาใช้ใหม่ได้)

【スライド 10】
日本語: ゴミふくろ
タイ語: ถุงขยะ

【スライド 11】
日本語: しゅうしゅうにち
タイ語: วันเก็บขยะ

