■ タイトル: にっぽんのしゅくじつとねんちゅうぎょうじ

■ スライド内容:
【タイトル】
日本語: にっぽんのしゅくじつとねんちゅうぎょうじ
タイ語: วันหยุดราชการและเทศกาลประจำปีของญี่ปุ่น

【スライド 1】
日本語: しゅくじつ
タイ語: วันหยุดราชการ

【スライド 2】
日本語: ねんちゅうぎょうじ
タイ語: เทศกาลประจำปี

【スライド 3】
日本語: おしょうがつ
タイ語: วันขึ้นปีใหม่

【スライド 4】
日本語: せいじんのにち
タイ語: วันบรรลุนิติภาวะ

【スライド 5】
日本語: ひなまつりり
タイ語: เทศกาลตุ๊กตาฮินะ

【スライド 6】
日本語: はなみ
タイ語: การชมดอกซากุระ

【スライド 7】
日本語: ゴールデンウィーク
タイ語: โกลเดนวีค

【スライド 8】
日本語: たなばた
タイ語: เทศกาลทานาบาตะ

【スライド 9】
日本語: おぼん
タイ語: เทศกาลโอบ้ง

【スライド 10】
日本語: スポーツのにち
タイ語: วันกีฬา

【スライド 11】
日本語: クリスマス
タイ語: คริสต์มาส

