■ タイトル: しやくしょでのてつづき

■ スライド内容:
【タイトル】
日本語: しやくしょでのてつづき
タイ語: การทำเรื่องที่สำนักงานเขต

【スライド 1】
日本語: じゅうみんひょう
タイ語: เอกสารรับรองที่อยู่

【スライド 2】
日本語: ほけんしょう
タイ語: บัตรประกันสุขภาพ

【スライド 3】
日本語: てんにゅうとどけ
タイ語: การแจ้งย้ายเข้า

【スライド 4】
日本語: てんしゅつとどけ
タイ語: การแจ้งย้ายออก

【スライド 5】
日本語: しんせいしょ
タイ語: ใบคำร้อง

【スライド 6】
日本語: まどぐち
タイ語: ช่องบริการ

【スライド 7】
日本語: いんかん
タイ語: ตราประทับ

【スライド 8】
日本語: みぶんしょうめいしょ
タイ語: เอกสารประจำตัว

【スライド 9】
日本語: サイン
タイ語: ลายเซ็น

【スライド 10】
日本語: きにゅうする
タイ語: กรอกข้อมูล

【スライド 11】
日本語: ていしゅつする
タイ語: ยื่นเอกสาร

