■ タイトル: オンラインショッピングをする

■ スライド内容:
【タイトル】
日本語: オンラインショッピングをする
タイ語: ช้อปปิ้งออนไลน์

【スライド 1】
日本語: オンラインストア
タイ語: ร้านค้าออนไลน์

【スライド 2】
日本語: しょうひんをけんさくする
タイ語: ค้นหาสินค้า

【スライド 3】
日本語: カートにいれる
タイ語: เพิ่มลงในตะกร้าสินค้า

【スライド 4】
日本語: こうにゅうてつづき
タイ語: ขั้นตอนการสั่งซื้อ

【スライド 5】
日本語: しはらいほうほう
タイ語: วิธีการชำระเงิน

【スライド 6】
日本語: クレジットカード
タイ語: บัตรเครดิต

【スライド 7】
日本語: おとどけさきじゅうしょ
タイ語: ที่อยู่สำหรับจัดส่ง

【スライド 8】
日本語: はいたつび
タイ語: วันที่จัดส่ง

【スライド 9】
日本語: そうりょう
タイ語: ค่าจัดส่ง

【スライド 10】
日本語: ちゅうもんりれき
タイ語: ประวัติการสั่งซื้อ

【スライド 11】
日本語: へんぴんする
タイ語: คืนสินค้า

