■ タイトル: ぎんこうとATMをりようする

■ スライド内容:
【タイトル】
日本語: ぎんこうとATMをりようする
タイ語: การใช้ธนาคารและตู้เอทีเอ็ม

【スライド 1】
日本語: ぎんこう
タイ語: ธนาคาร

【スライド 2】
日本語: ATM
タイ語: ตู้เอทีเอ็ม

【スライド 3】
日本語: こうざ
タイ語: บัญชี

【スライド 4】
日本語: おきん
タイ語: เงิน

【スライド 5】
日本語: よける
タイ語: ฝาก (เงิน)

【スライド 6】
日本語: ひききしゅつす
タイ語: ถอน (เงิน)

【スライド 7】
日本語: ざんだか
タイ語: ยอดเงินคงเหลือ

【スライド 8】
日本語: あんしょうばんごう
タイ語: รหัสส่วนตัว

【スライド 9】
日本語: つうちょう
タイ語: สมุดบัญชีธนาคาร

【スライド 10】
日本語: キャッシュカード
タイ語: บัตรกดเงินสด

【スライド 11】
日本語: ふりこみみ
タイ語: การโอนเงิน

