■ タイトル: びよういん・とこやにいく

■ スライド内容:
【タイトル】
日本語: びよういん・とこやにいく
タイ語: ไปร้านเสริมสวย/ร้านตัดผม

【スライド 1】
日本語: よやく
タイ語: การจอง (นัดหมาย)

【スライド 2】
日本語: カット
タイ語: การตัดผม

【スライド 3】
日本語: シャンプー
タイ語: การสระผม

【スライド 4】
日本語: トリートメント
タイ語: ทรีตเมนต์บำรุงผม

【スライド 5】
日本語: カラー
タイ語: การทำสีผม

【スライド 6】
日本語: パーマ
タイ語: การดัดผม

【スライド 7】
日本語: スタイリング
タイ語: การจัดแต่งทรงผม

【スライド 8】
日本語: びようし
タイ語: ช่างทำผม

【スライド 9】
日本語: りようし
タイ語: ช่างตัดผม

【スライド 10】
日本語: りょうきん
タイ語: ค่าบริการ

【スライド 11】
日本語: しめい
タイ語: การระบุช่าง (เลือกช่างคนเดิม/เฉพาะ)

