■ タイトル: かでんせいひんのこうにゅうとしよう

■ スライド内容:
【タイトル】
日本語: かでんせいひんのこうにゅうとしよう
タイ語: การซื้อและการใช้เครื่องใช้ไฟฟ้าในบ้าน

【スライド 1】
日本語: テレビ
タイ語: โทรทัศน์

【スライド 2】
日本語: れいぞうこ
タイ語: ตู้เย็น

【スライド 3】
日本語: せんたくき
タイ語: เครื่องซักผ้า

【スライド 4】
日本語: エアコン
タイ語: เครื่องปรับอากาศ

【スライド 5】
日本語: でんしレンジ
タイ語: เตาไมโครเวฟ

【スライド 6】
日本語: そうじき
タイ語: เครื่องดูดฝุ่น

【スライド 7】
日本語: すいはんき
タイ語: หม้อหุงข้าว

【スライド 8】
日本語: でんきケトル
タイ語: กาต้มน้ำไฟฟ้า

【スライド 9】
日本語: ドライヤー
タイ語: เครื่องเป่าผม

【スライド 10】
日本語: パソコン
タイ語: คอมพิวเตอร์ส่วนบุคคล

【スライド 11】
日本語: しんせいひん
タイ語: สินค้าใหม่

