■ タイトル: にほんのかんこうをたのしむ

■ スライド内容:
【タイトル】
日本語: にほんのかんこうをたのしむ
タイ語: การเพลิดเพลินกับการท่องเที่ยวในญี่ปุ่น

【スライド 1】
日本語: かんこうち
タイ語: สถานที่ท่องเที่ยว

【スライド 2】
日本語: ちず
タイ語: แผนที่

【スライド 3】
日本語: きっぷ
タイ語: ตั๋ว

【スライド 4】
日本語: おみやげ
タイ語: ของฝาก, ของที่ระลึก

【スライド 5】
日本語: よやく
タイ語: การจอง

【スライド 6】
日本語: しゃしん
タイ語: รูปถ่าย

【スライド 7】
日本語: ガイドブック
タイ語: หนังสือคู่มือท่องเที่ยว

【スライド 8】
日本語: こうつうきかん
タイ語: ระบบขนส่งสาธารณะ

【スライド 9】
日本語: りょうがえ
タイ語: การแลกเงิน

【スライド 10】
日本語: かんこうあんないしょ
タイ語: ศูนย์ข้อมูลนักท่องเที่ยว

【スライド 11】
日本語: けしき
タイ語: ทิวทัศน์, วิว

