■ タイトル: けいたいでんわをしう

■ スライド内容:
【タイトル】
日本語: けいたいでんわをしう
タイ語: การใช้โทรศัพท์มือถือ

【スライド 1】
日本語: けいたいでんわ
タイ語: โทรศัพท์มือถือ

【スライド 2】
日本語: でんわをかける
タイ語: โทรออก

【スライド 3】
日本語: でんわにしゅつる
タイ語: รับโทรศัพท์

【スライド 4】
日本語: メッセージをそうる
タイ語: ส่งข้อความ

【スライド 5】
日本語: じゅうでんする
タイ語: ชาร์จแบตเตอรี่

【スライド 6】
日本語: ちゃくしん
タイ語: สายเรียกเข้า

【スライド 7】
日本語: でんぱ
タイ語: สัญญาณ (โทรศัพท์)

【スライド 8】
日本語: でんげんをにゅうれる
タイ語: เปิดเครื่อง

【スライド 9】
日本語: でんげんをせつる
タイ語: ปิดเครื่อง

【スライド 10】
日本語: アプリ
タイ語: แอปพลิเคชัน

【スライド 11】
日本語: しゃしんをさつる
タイ語: ถ่ายรูป

