■ タイトル: ジム・スポーツしせつのりよう

■ スライド内容:
【タイトル】
日本語: ジム・スポーツしせつのりよう
タイ語: การใช้ยิมและศูนย์กีฬา

【スライド 1】
日本語: ジム
タイ語: ยิม

【スライド 2】
日本語: スポーツセンター
タイ語: ศูนย์กีฬา

【スライド 3】
日本語: トレーニング
タイ語: การออกกำลังกาย, การฝึกซ้อม

【スライド 4】
日本語: うんどうする
タイ語: ออกกำลังกาย

【スライド 5】
日本語: そうる
タイ語: วิ่ง

【スライド 6】
日本語: ほく
タイ語: เดิน

【スライド 7】
日本語: あせ
タイ語: เหงื่อ

【スライド 8】
日本語: シャワー
タイ語: อาบน้ำฝักบัว

【スライド 9】
日本語: ロッカー
タイ語: ล็อกเกอร์

【スライド 10】
日本語: すいぶんほきゅう
タイ語: การเติมน้ำในร่างกาย, การดื่มน้ำ

【スライド 11】
日本語: ひれる
タイ語: เหนื่อย

