■ タイトル: かでんりょうはんてんでのばいいもの

■ スライド内容:
【タイトル】
日本語: かでんりょうはんてんでのばいいもの
タイ語: การซื้อของที่ร้านเครื่องใช้ไฟฟ้า

【スライド 1】
日本語: かでんりょうはんてん
タイ語: ร้านค้าปลีกเครื่องใช้ไฟฟ้าขนาดใหญ่

【スライド 2】
日本語: テレビ
タイ語: โทรทัศน์

【スライド 3】
日本語: れいぞうこ
タイ語: ตู้เย็น

【スライド 4】
日本語: せんたくき
タイ語: เครื่องซักผ้า

【スライド 5】
日本語: パソコン
タイ語: คอมพิวเตอร์ส่วนบุคคล

【スライド 6】
日本語: スマートフォン
タイ語: สมาร์ทโฟน

【スライド 7】
日本語: ねだん
タイ語: ราคา

【スライド 8】
日本語: わりびき
タイ語: ส่วนลด

【スライド 9】
日本語: ほしょう
タイ語: การรับประกัน

【スライド 10】
日本語: せつめいしょ
タイ語: คู่มือการใช้งาน

【スライド 11】
日本語: せっち
タイ語: การติดตั้ง

