■ タイトル: アパートをしゃくりる・ひきっえつし

■ スライド内容:
【タイトル】
日本語: アパートをしゃくりる・ひきっえつし
タイ語: การเช่าอพาร์ตเมนต์และการย้ายบ้าน

【スライド 1】
日本語: アパート
タイ語: อพาร์ตเมนต์

【スライド 2】
日本語: やちん
タイ語: ค่าเช่าบ้าน

【スライド 3】
日本語: しききん
タイ語: เงินประกันค่าเช่า

【スライド 4】
日本語: れいきん
タイ語: เงินกินเปล่า

【スライド 5】
日本語: ふどうさんや
タイ語: สำนักงานอสังหาริมทรัพย์

【スライド 6】
日本語: まどりり
タイ語: ผังห้อง

【スライド 7】
日本語: けいやく
タイ語: สัญญา

【スライド 8】
日本語: ひきっえつし
タイ語: การย้ายบ้าน

【スライド 9】
日本語: かぐ
タイ語: เฟอร์นิเจอร์

【スライド 10】
日本語: しょきひよう
タイ語: ค่าใช้จ่ายเริ่มต้น

【スライド 11】
日本語: ぶっけん
タイ語: ทรัพย์สินให้เช่า

