■ タイトル: ホテルやりょかんでしゅくはくする

■ スライド内容:
【タイトル】
日本語: ホテルやりょかんでしゅくはくする
タイ語: การเข้าพักที่โรงแรมหรือเรียวกัง

【スライド 1】
日本語: ホテル
タイ語: โรงแรม

【スライド 2】
日本語: りょかん
タイ語: เรียวกัง (ที่พักสไตล์ญี่ปุ่น)

【スライド 3】
日本語: よやく
タイ語: การจอง

【スライド 4】
日本語: チェックイン
タイ語: เช็คอิน

【スライド 5】
日本語: チェックアウト
タイ語: เช็คเอาต์

【スライド 6】
日本語: へや
タイ語: ห้อง

【スライド 7】
日本語: かぎ
タイ語: กุญแจ

【スライド 8】
日本語: フロント
タイ語: แผนกต้อนรับ

【スライド 9】
日本語: ちょうしょく
タイ語: อาหารเช้า

【スライド 10】
日本語: しゅくはくしゃ
タイ語: ผู้เข้าพัก

【スライド 11】
日本語: にもつ
タイ語: สัมภาระ / กระเป๋าเดินทาง

