■ タイトル: しゅみ・じゆうじかんのあくてぃびてぃ

■ スライド内容:
【タイトル】
日本語: しゅみ・じゆうじかんのあくてぃびてぃ
タイ語: งานอดิเรกและกิจกรรมยามว่าง

【スライド 1】
日本語: しゅみ
タイ語: งานอดิเรก

【スライド 2】
日本語: しゅうまつ
タイ語: วันหยุดสุดสัปดาห์

【スライド 3】
日本語: じかんがある
タイ語: มีเวลาว่าง

【スライド 4】
日本語: あそびにいく
タイ語: ไปเที่ยว / ไปเล่น

【スライド 5】
日本語: えいがをみる
タイ語: ดูหนัง

【スライド 6】
日本語: ほんをよむ
タイ語: อ่านหนังสือ

【スライド 7】
日本語: おんがくをきく
タイ語: ฟังเพลง

【スライド 8】
日本語: すぽーつをする
タイ語: เล่นกีฬา

【スライド 9】
日本語: りょこうする
タイ語: ท่องเที่ยว

【スライド 10】
日本語: しゃしんをとる
タイ語: ถ่ายรูป

【スライド 11】
日本語: ともだちとあう
タイ語: เจอเพื่อน / พบเพื่อน

