■ タイトル: ぎんこうのりよう

■ スライド内容:
【タイトル】
日本語: ぎんこうのりよう
タイ語: การใช้บริการธนาคาร

【スライド 1】
日本語: ぎんこう
タイ語: ธนาคาร

【スライド 2】
日本語: ATM
タイ語: ตู้เอทีเอ็ม

【スライド 3】
日本語: おきん
タイ語: เงิน

【スライド 4】
日本語: ひききしゅつす
タイ語: ถอนเงิน

【スライド 5】
日本語: よける
タイ語: ฝากเงิน

【スライド 6】
日本語: ざんだかしょうかい
タイ語: สอบถามยอดเงินคงเหลือ

【スライド 7】
日本語: つうちょう
タイ語: สมุดบัญชีธนาคาร

【スライド 8】
日本語: キャッシュカード
タイ語: บัตรเอทีเอ็ม / บัตรเดบิต

【スライド 9】
日本語: あんしょうばんごう
タイ語: รหัสผ่าน

【スライド 10】
日本語: てすうりょう
タイ語: ค่าธรรมเนียม

【スライド 11】
日本語: しんりこみみ
タイ語: โอนเงิน

