■ タイトル: スマートフォンのりようとインターネット

■ スライド内容:
【タイトル】
日本語: スマートフォンのりようとインターネット
タイ語: การใช้สมาร์ทโฟนและอินเทอร์เน็ต

【スライド 1】
日本語: スマートフォン
タイ語: สมาร์ทโฟน

【スライド 2】
日本語: アプリ
タイ語: แอปพลิเคชัน

【スライド 3】
日本語: ネット
タイ語: อินเทอร์เน็ต

【スライド 4】
日本語: Wi-Fi
タイ語: Wi-Fi (ไวไฟ)

【スライド 5】
日本語: パスワード
タイ語: รหัสผ่าน

【スライド 6】
日本語: じゅうでんき
タイ語: ที่ชาร์จแบตเตอรี่

【スライド 7】
日本語: けんさくする
タイ語: ค้นหา

【スライド 8】
日本語: ダウンロードする
タイ語: ดาวน์โหลด

【スライド 9】
日本語: メッセージ
タイ語: ข้อความ

【スライド 10】
日本語: SNS
タイ語: SNS (โซเชียลเน็ตเวิร์ก)

【スライド 11】
日本語: データつうしん
タイ語: การสื่อสารข้อมูล

