■ タイトル: いざかやでのたいけん

■ スライド内容:
【タイトル】
日本語: いざかやでのたいけん
タイ語: ประสบการณ์ที่ร้านอิซากายะ

【スライド 1】
日本語: ちゅうもんする
タイ語: สั่งอาหาร/เครื่องดื่ม

【スライド 2】
日本語: なまビール
タイ語: เบียร์สด

【スライド 3】
日本語: えだまめ
タイ語: ถั่วแระญี่ปุ่น

【スライド 4】
日本語: やきとり
タイ語: ไก่ย่างเสียบไม้

【スライド 5】
日本語: おかいけい
タイ語: เช็คบิล/ค่าอาหาร

【スライド 6】
日本語: かんぱい
タイ語: ชนแก้ว/ไชโย (เวลาดื่ม)

【スライド 7】
日本語: おすすめ
タイ語: เมนูแนะนำ

【スライド 8】
日本語: おかわり
タイ語: ขอเพิ่มอีก/เติมอีก

【スライド 9】
日本語: わりかん
タイ語: หารค่าอาหาร/เครื่องดื่ม

【スライド 10】
日本語: きんえんせき
タイ語: ที่นั่งปลอดบุหรี่

【スライド 11】
日本語: おとおし
タイ語: อาหารเรียกน้ำย่อย (ที่เสิร์ฟอัตโนมัติและคิดเงิน)

