■ タイトル: くるまのうんてん・りよう

■ スライド内容:
【タイトル】
日本語: くるまのうんてん・りよう
タイ語: การขับขี่และการใช้รถยนต์

【スライド 1】
日本語: くるま
タイ語: รถยนต์

【スライド 2】
日本語: うんてんする
タイ語: ขับรถ

【スライド 3】
日本語: ちゅうしゃじょう
タイ語: ที่จอดรถ

【スライド 4】
日本語: ガソリンスタンド
タイ語: ปั๊มน้ำมัน

【スライド 5】
日本語: しんごう
タイ語: สัญญาณไฟจราจร

【スライド 6】
日本語: どうろ
タイ語: ถนน

【スライド 7】
日本語: めんきょしょう
タイ語: ใบขับขี่

【スライド 8】
日本語: こうそくどうろ
タイ語: ทางด่วน

【スライド 9】
日本語: ETCカード
タイ語: บัตรอีทีซี (สำหรับค่าผ่านทางด่วน)

【スライド 10】
日本語: カーナビ
タイ語: ระบบนำทางรถยนต์

【スライド 11】
日本語: レンタカー
タイ語: รถเช่า

