■ タイトル: ぎんこう の りよう

■ スライド内容:
【タイトル】
日本語: ぎんこう の りよう
タイ語: การใช้บริการธนาคาร

【スライド 1】
日本語: ぎんこう
タイ語: ธนาคาร

【スライド 2】
日本語: こうざ
タイ語: บัญชี

【スライド 3】
日本語: よきん
タイ語: การฝากเงิน

【スライド 4】
日本語: ひきだし
タイ語: การถอนเงิน

【スライド 5】
日本語: エーティーエム
タイ語: ตู้เอทีเอ็ม

【スライド 6】
日本語: あんしょうばんごう
タイ語: รหัสส่วนตัว

【スライド 7】
日本語: ざんだかしょうかい
タイ語: สอบถามยอดเงินคงเหลือ

【スライド 8】
日本語: ふりこみ
タイ語: การโอนเงิน

【スライド 9】
日本語: つうちょう
タイ語: สมุดบัญชีธนาคาร

【スライド 10】
日本語: キャッシュカード
タイ語: บัตรเงินสด

【スライド 11】
日本語: てすうりょう
タイ語: ค่าธรรมเนียม

