■ タイトル: おんせん・せんとうのりよう

■ スライド内容:
【タイトル】
日本語: おんせん・せんとうのりよう
タイ語: การใช้บ่อน้ำพุร้อนและโรงอาบน้ำสาธารณะ

【スライド 1】
日本語: おんせん
タイ語: บ่อน้ำพุร้อน

【スライド 2】
日本語: せんとう
タイ語: โรงอาบน้ำสาธารณะ

【スライド 3】
日本語: だいよくじょう
タイ語: ห้องอาบน้ำรวมขนาดใหญ่

【スライド 4】
日本語: だついじょ
タイ語: ห้องเปลี่ยนเสื้อผ้า

【スライド 5】
日本語: よくそう
タイ語: อ่างอาบน้ำ (บ่ออาบน้ำ)

【スライド 6】
日本語: あらいば
タイ語: บริเวณล้างตัว

【スライド 7】
日本語: タオル
タイ語: ผ้าเช็ดตัว

【スライド 8】
日本語: シャンプー
タイ語: แชมพู

【スライド 9】
日本語: せっけん
タイ語: สบู่

【スライド 10】
日本語: からだをあらう
タイ語: อาบน้ำ (ล้างตัว)

【スライド 11】
日本語: ゆぶねにつかる
タイ語: แช่น้ำในอ่างอาบน้ำ

