■ タイトル: さいがいと きんきゅうじたいへの じゅんび

■ スライド内容:
【タイトル】
日本語: さいがいと きんきゅうじたいへの じゅんび
タイ語: การเตรียมพร้อมสำหรับภัยพิบัติและสถานการณ์ฉุกเฉิน

【スライド 1】
日本語: じしん
タイ語: แผ่นดินไหว

【スライド 2】
日本語: つなみ
タイ語: สึนามิ

【スライド 3】
日本語: ひなん
タイ語: การอพยพ

【スライド 4】
日本語: ひなんじょ
タイ語: ศูนย์พักพิงชั่วคราว

【スライド 5】
日本語: ひじょうしょく
タイ語: อาหารฉุกเฉิน

【スライド 6】
日本語: かいちゅうでんとう
タイ語: ไฟฉาย

【スライド 7】
日本語: きんきゅう
タイ語: ฉุกเฉิน

【スライド 8】
日本語: ぼうさい
タイ語: การป้องกันภัยพิบัติ

【スライド 9】
日本語: あんぴかくにん
タイ語: การยืนยันความปลอดภัย

【スライド 10】
日本語: ぼうさいまっぷ
タイ語: แผนที่ป้องกันภัยพิบัติ

【スライド 11】
日本語: けいたいらじお
タイ語: วิทยุพกพา

